Article_ID,Numbered_Source_Text,Original_Abstractive_Summary,Godly_Labels,Bastin_Labels,Adithya_Labels
82640,"[0] കോഴിക്കോട്: കോണ്‍ഗ്രസ് വിമത സ്ഥാനാര്‍ത്ഥിക്കെതിരെ നോട്ടീസ് ഇറക്കി വെട്ടിലായി കോഴിക്കോട് കോര്‍പ്പറേഷനിലെ വെള്ളിമായി കുന്ന് ഡിവിഷനിലെ യുഡിഎഫ് സ്ഥാനാര്‍ത്ഥി
[1] വ്യക്തിഹത്യ നടത്തുന്നുവെന്ന പരാതിയുമായിട്ടാണ് വിമത സ്ഥാനാര്‍ത്ഥി തിരഞ്ഞെടുപ്പ് കമ്മീഷന് പരാതി നല്‍കിയിരിക്കുന്നത്
[2] കോണ്‍ഗ്രസ് പുറത്താക്കിയ ടികെ ചന്ദ്രന്റെ ദീന രോദനം എന്ന പേരില്‍ നോട്ടീസ് അടിച്ചിറക്കിയതാണ് പരാതി
[3] ഇത് വലിയ രീതിയില്‍ വിവാദമായിരുന്നു
[4] മണ്ഡലത്തിലെ പലരും ഈ നോട്ടീസിനെ വിമര്‍ശിക്കുകയും ചെയ്തിരുന്നു
[5] ഈ സാഹചര്യത്തിലാണ് പരാതി കൂടി നല്‍കിയിരിക്കുന്നത്
[6] കോണ്‍ഗ്രസ് നേതാവ് നോട്ടീസ് അച്ചടിച്ച് വ്യാപകമായി വിതരണം ചെയ്തിരുന്നു
[7] കോണ്‍ഗ്രസിന്റെ തന്നെ തിരഞ്ഞെടുപ്പ് കമ്മിറ്റിയാണ് ഇതിന് പിന്നില്‍ പ്രവര്‍ത്തിച്ചത്
[8] സീറ്റ് കിട്ടാത്തത് കൊണ്ട് എല്‍ഡിഎഫുമായി കരാറുണ്ടാക്കി മത്സരത്തിന് ഇറങ്ങി എന്നാണ് ഇയാള്‍ക്കെതിരെ നോട്ടീസില്‍ ആരോപിക്കുന്നത്",കോൺഗ്രസ് വിമത സ്ഥാനാർത്ഥിക്കെതിരെ നോട്ടീസ് ഇറക്കി വെട്ടിലായി കോഴിക്കോട് കോർപ്പറേഷനിലെ വെള്ളിമായി കുന്ന് ഡിവിഷനിലെ യുഡിഎഫ് സ്ഥാനാർത്ഥി. സീറ്റ് കിട്ടാത്തത് കൊണ്ട് എൽഡിഎഫുമായി കരാറുണ്ടാക്കി മത്സരത്തിന് ഇറങ്ങി എന്നാണ് ഇയാൾക്കെതിരെ നോട്ടീസിൽ ആരോപിക്കുന്നത്.,,,
84066,"[0] തൃശൂര്‍: നിയമസഭാ തിരഞ്ഞെടുപ്പിലെ സ്ഥാനാര്‍ഥി നിര്‍ണയം കോണ്‍ഗ്രസിനെ കൂടുതല്‍ പ്രതിസന്ധിയിലാക്കുന്നു
[1] ഭരണം പിടിക്കാനുള്ള നീക്കങ്ങള്‍ പാളുമോ എന്ന് നേതൃത്വത്തിന് ആശങ്ക
[2] മൂന്ന് ജില്ലകളില്‍ ജില്ലാ നേതൃത്വങ്ങള്‍ രാജി ഭീഷണി മുഴക്കിയതിന് പിന്നാലെ തൃശൂരിലെ ചാലക്കുടിയില്‍ ഒട്ടേറെ പ്രാദേശിക നേതാക്കള്‍ രാജിവച്ചു
[3] 33 ബൂത്ത് ഏജന്റുമാര്‍ക്ക് പുറമെ എട്ട് മണ്ഡലം പ്രസിഡന്റുമാരും യൂത്ത് കോണ്‍ഗ്രസ് പ്രവര്‍ത്തകരും രാജിവച്ചു
[4] ചാലക്കുടിയില്‍ പുറത്തുനിന്നുള്ള സ്ഥാനാര്‍ഥികള്‍ വേണ്ട എന്നാണ് ഇവരുടെ ആവശ്യം
[5] ചാലക്കുടിയില്‍ കോണ്‍ഗ്രസ് ടിജെ സനീഷ് കുമാറിനെ പരിഗണിക്കുന്നു എന്ന വിവരത്തിന്റെ അടിസ്ഥാനത്തിലാണ് രാജി
[6] മണ്ഡലത്തിന് പുറത്തുള്ളവരെ സ്ഥാനാര്‍ഥിയാക്കിയാല്‍ രാജിവെക്കുമെന്ന് നേരത്തെ ഒരു കൂട്ടം പ്രവര്‍ത്തകര്‍ ഭീഷണി മുഴക്കിയിരുന്നു
[7] അതേസമയം, സ്ഥാനാര്‍ഥി നിര്‍ണയവുമായി ബന്ധപ്പെട്ട് മറ്റു ജില്ലകളിലും കോണ്‍ഗ്രസില്‍ പ്രശ്‌നങ്ങള്‍ തുടരുകയാണ്
[8] മലപ്പുറം ഡിസിസി അധ്യക്ഷന്‍ വിവി പ്രകാശ് രാജിവെക്കുമെന്നാണ് സൂചന
[9] അദ്ദേഹത്തിന് നല്‍കുമെന്ന് കരുതിയിരുന്ന നിലമ്പൂര്‍ സീറ്റില്‍ കെപിസിസി സെക്രട്ടറി ടി സിദ്ദിഖിനെ മല്‍സരിപ്പിക്കുമെന്ന വിവരം വന്നതിന് പിന്നാലെയാണിത്
[10] നിലമ്പൂരില്‍ മണ്ഡലത്തില്‍ നിന്നു തന്നെയുള്ള സ്ഥാനാര്‍ഥികള്‍ വേണമെന്നാണ് വിവി പ്രകാശിനെ പിന്തുണയ്ക്കുന്നവരുടെ ആവശ്യം",അദ്ദേഹത്തിന് നൽകുമെന്ന് കരുതിയിരുന്ന നിലമ്പൂർ സീറ്റിൽ കെപിസിസി സെക്രട്ടറി ടി സിദ്ദിഖിനെ മൽസരിപ്പിക്കുമെന്ന വിവരം വന്നതിന് പിന്നാലെയാണിത്. മൂന്ന് ജില്ലകളിൽ ജില്ലാ നേതൃത്വങ്ങൾ രാജി ഭീഷണി മുഴക്കിയതിന് പിന്നാലെ തൃശൂരിലെ ചാലക്കുടിയിൽ ഒട്ടേറെ പ്രാദേശിക നേതാക്കൾ രാജിവച്ചു.,,,
87684,"[0] ദില്ലി: ഒരു വർഷം പിന്നിട്ട് ദില്ലി അതിർത്തികളിൽ കർഷകസമരം തുടരുകയാണ്
[1] കേന്ദ്ര സർക്കാർ പാസ്സാക്കിയ മൂന്ന് വിവാദ കാർഷിക നിയമങ്ങളും പിൻവലിക്കാതെ സമരത്തിൽ നിന്ന് പിന്നോട്ടില്ലെന്നാണ് കർഷകരുടെ നിലപാട്
[2] കർഷകരുമായി കേന്ദ്ര സർക്കാർ പലവട്ടം ചർച്ച നടത്തിയെങ്കിലും ഫലം കണ്ടില്ല
[3] കർഷകരോഷം സുപ്രീം കോടതിക്ക് പോലും മനസ്സിലാകുന്നില്ലെന്ന് ദില്ലിയിലെ കർഷകസമരപ്പന്തൽ സന്ദർശിച്ച് മുൻ മന്ത്രി തോമസ് ഐസക് പറയുന്നു
[4] തോമസ് ഐസകിന്റെ ഫേസ്ബുക്ക് കുറിപ്പ് വായിക്കാം: '' മൂന്നു കർഷക നിയമങ്ങളോടുള്ള ഇത്രയും രൂക്ഷമായ കർഷകരോഷം പലർക്കും മനസിലാകുന്നില്ല
[5] സുപ്രിംകോടതിക്കു പോലും
[6] ഞങ്ങളുടെ പരിഗണനയിൽ ഇരിക്കുന്ന വിഷയത്തിൽ എന്തിന് അനിശ്ചിതകാല സമരം എന്നാണ് അവർ ചോദിക്കുന്നത്
[7] പരിഗണിക്കാൻ ഇത്ര മാസങ്ങൾ കഴിഞ്ഞിട്ടും സമയം സുപ്രിംകോടതിക്കു ലഭിച്ചിട്ടില്ല എന്നതു കോടതിയെ അലട്ടുന്നതായി തോന്നുന്നില്ല
[8] എത്ര നിഷ്കളങ്കമായിട്ടാണ് ഞങ്ങൾ പരിഗണിച്ചു വഴിയേ തീർപ്പാക്കാം, നിങ്ങൾ പിരിഞ്ഞു പോവുക എന്നു പറയുന്നത്
[9] വഴി തടയുന്നതു തങ്ങളല്ല, ബാരിക്കേഡുകൾ ഉയർത്തിയുള്ള പൊലീസാണു തടയുന്നത് എന്നാണ് സമരക്കാരുടെ പ്രതികരണം","തോമസ് ഐസകിന്റെ ഫേസ്ബുക്ക് കുറിപ്പ് വായിക്കാംഃ "" മൂന്നു കർഷക നിയമങ്ങളോടുള്ള ഇത്രയും രൂക്ഷമായ കർഷകരോഷം പലർക്കും മനസിലാകുന്നില്ല. കേന്ദ്ര സർക്കാർ പാസ്സാക്കിയ മൂന്ന് വിവാദ കാർഷിക നിയമങ്ങളും പിൻവലിക്കാതെ സമരത്തിൽ നിന്ന് പിന്നോട്ടില്ലെന്നാണ് കർഷകരുടെ നിലപാട്.",,,
72281,"[0] ഗസ/തെല്‍അവീവ്: പശ്ചിമേഷ്യയില്‍ ഇസ്രായേല്‍ ആക്രമണം ശക്തിപ്പെട്ടു
[1] അമേരിക്കന്‍ എംബസി തെല്‍ അവീവില്‍ നിന്ന് ജറുസലേമിലേക്ക് മാറ്റിയ ട്രംപിന്റെ നടപടിയാണ്് പുതിയ പ്രശ്‌നങ്ങള്‍ക്ക് കാരണം
[2] ഇസ്രായേല്‍ സൈന്യം ഗസയില്‍ നടത്തിയ ആക്രമണത്തില്‍ 55 പേര്‍ കൊല്ലപ്പെട്ടു
[3] 3000ത്തോളം പേര്‍ക്ക് ഗുരുതരമായി പരിക്കേറ്റു
[4] തിങ്കളാഴ്ച തുടങ്ങിയ ആക്രമണം ചൊവ്വാഴ്ചയും തുടരുകയാണ്
[5] പശ്ചിമേഷ്യ കൂടുതല്‍ പ്രതിസന്ധിയിലേക്ക് നീങ്ങുന്നുവെന്നാണ് വിവരങ്ങള്‍
[6] ഇതുസംബന്ധിച്ച് സൗദി ഉള്‍പ്പെടെയുള്ള അറബ് രാജ്യങ്ങള്‍ അമേരിക്കയ്ക്ക് മുന്നറിയിപ്പ് നല്‍കിയിരുന്നു
[7] പരിക്കേറ്റ പലരും മരണത്തോട് മല്ലിട്ടാണ് കഴിയുന്നതെന്ന് ഗസാ ആരോഗ്യവൃത്തങ്ങള്‍ പറഞ്ഞു
[8] അറബ് ലോകത്ത് പ്രതിഷേധം അലയടിക്കുകയാണ്
[9] ഐക്യരാഷ്ട്ര സഭയും ഇസ്രായേലിനെതിരെ രംഗത്തുവന്നു
[10] മേഖലയില്‍ നിന്നുള്ള വിവരങ്ങള്‍ ഇങ്ങനെ..",അമേരിക്കൻ എംബസി തെൽ അവീവിൽ നിന്ന് ജറുസലേമിലേക്ക് മാറ്റിയ ട്രംപിന്റെ നടപടിയാണ്് പുതിയ പ്രശ്നങ്ങൾക്ക് കാരണം. ഇതുസംബന്ധിച്ച് സൌദി ഉൾപ്പെടെയുള്ള അറബ് രാജ്യങ്ങൾ അമേരിക്കയ്ക്ക് മുന്നറിയിപ്പ് നൽകിയിരുന്നു.,,,
4577,"[0] തിരുവനന്തപുരം∙ മൂന്നര മാസത്തെ ഇടവേളയ്ക്കു ശേഷം സംസ്ഥാനത്തെ പ്രതിദിന കോവിഡ് ബാധിതരുടെ എണ്ണം വീണ്ടും മൂവായിരത്തിനു മുകളിലായി
[1] കഴിഞ്ഞ ഒരാഴ്ചയായി രണ്ടായിരത്തിനു മുകളിലായിരുന്നത് ഇന്നലെ 3,488 ആയി ഉയർന്നു
[2] കഴിഞ്ഞ ഫെബ്രുവരി 26ന് ആണ് ഇതിനു മുൻപ് പ്രതിദിന കോവിഡ് ബാധിതരുടെ എണ്ണം 3000 കടന്നത്
[3] രാജ്യത്ത് ഇപ്പോൾ കൂടുതൽ കോവിഡ് ബാധിതരുള്ളതും കേരളത്തിലാണ്
[4] രോഗ വ്യാപനം കൂടുതലുളള എറണാകുളത്ത് ഇന്നലെ 987 പേർക്കാണു കോവിഡ് സ്ഥിരീകരിച്ചത്
[5] തിരുവനന്തപുരം(620), കോട്ടയം(471), കോഴിക്കോട്(281) ജില്ലകളാണ് തൊട്ടു പിന്നിലുള്ളത്
[6] നിലവിൽ സംസ്ഥാനത്ത് കോവിഡ് ചികിത്സയിലുള്ളവരുടെ എണ്ണം പതിനെട്ടായിരത്തിനു മുകളിലാണ്
[7] ടെസ്റ്റ് പോസിറ്റിവിറ്റി നിരക്ക് 14നു മുകളിലായി
[8] 3 മരണങ്ങളും ഇന്നലെ റിപ്പോർട്ട് ചെയ്തു",കഴിഞ്ഞ ഫെബ്രുവരി 26ന് ആണ് ഇതിനു മുൻപ് പ്രതിദിന കോവിഡ് ബാധിതരുടെ എണ്ണം 3000 കടന്നത്. മൂന്നര മാസത്തെ ഇടവേളയ്ക്കു ശേഷം സംസ്ഥാനത്തെ പ്രതിദിന കോവിഡ് ബാധിതരുടെ എണ്ണം വീണ്ടും മൂവായിരത്തിനു മുകളിലായി.,,,
71367,"[0] ഹാദിയയുടെ മതംമാറ്റവും അതേച്ചൊല്ലിയുള്ള വിവാദങ്ങളുമാണല്ലോ സോഷ്യൽ മീഡിയയിലെ ചർച്ചാ വിഷയം
[1] ഇസ്ലാമിലേക്ക് മുമ്പ് മതം മാറിയ ആളുകളെക്കുറിച്ചും ഒരുപാട് പേർ ചർച്ച ചെയ്യുന്നുണ്ട്
[2] ഈ കൂട്ടത്തിൽ ഏറ്റവും പ്രമുഖയാണ് എഴുത്തുകാരിയായ മാധവിക്കുട്ടി
[3] മാധവിക്കുട്ടി മതംമാറ്റത്തെക്കുറിച്ച് സുഹൃത്തായ ലീല മേനോനോട് പറഞ്ഞത് എന്ന പേരിൽ വൈറലാകുകയാണ് ഈ വാക്കുകൾ
[4] ഒപ്പം ഇസ്ലാം മതത്തിലേക്ക് മാറിയ മറ്റ് സെലിബ്രിറ്റികളെയും കാണാം..
[5] ലൗ ജിഹാദിന്റെ പ്രമുഖ ഇര മാധവിക്കുട്ടിയുടെ വാക്കുകൾ എന്ന് പറഞ്ഞ് സോഷ്യൽ മീഡിയയിൽ വൈറലാകുകയാണ് ഈ വാക്കുകൾ
[6] സുഹൃത്തായ ലീല മേനോനോട് പറഞ്ഞത് എന്ന പേരിലാണ് ഇത് പ്രചരിക്കുന്നത്
[7] എനിക്ക് മടുത്തിരിക്കുന്നു
[8] തിരിച്ചു വരണം എന്നുണ്ടായിരുന്നു
[9] പക്ഷേ അവരനുവദിക്കില്ല, അബദ്ധമാണ് പറ്റിയത് - ഇതാണത്രെ മാധവിക്കുട്ടിയുടെ വാക്കുകൾ",ഒപ്പം ഇസ്ലാം മതത്തിലേക്ക് മാറിയ മറ്റ് സെലിബ്രിറ്റികളെയും കാണാം... ലൌ ജിഹാദിന്റെ പ്രമുഖ ഇര മാധവിക്കുട്ടിയുടെ വാക്കുകൾ എന്ന് പറഞ്ഞ് സോഷ്യൽ മീഡിയയിൽ വൈറലാകുകയാണ് ഈ വാക്കുകൾ. മാധവിക്കുട്ടി മതംമാറ്റത്തെക്കുറിച്ച് സുഹൃത്തായ ലീല മേനോനോട് പറഞ്ഞത് എന്ന പേരിൽ വൈറലാകുകയാണ് ഈ വാക്കുകൾ.,,,
80842,"[0] ബംഗളൂരു: ബംഗളൂരുവിലെ ആശുപത്രിയില്‍ ജോലി ചെയ്തിരുന്ന മലയാളി നഴ്‌സ് ആശുപത്രിയിലെ ശുചിമുറിയില്‍ മരിച്ച നിലയില്‍ കണ്ടെത്തി
[1] കൊല്ലം ഏഴുകോണ്‍ എടക്കോട് ഐശ്വര്യയില്‍ ശശിധരന്റെ മകന്‍ അതുല്‍ ശശിധരന്‍ (26) ആണ് മരിച്ചത്
[2] ഇദ്ദേഹം രണ്ട് വര്‍ഷമായി ആശുപത്രിയില്‍ ജോലി ചെയ്യുന്നു
[3] മാറത്തഹള്ളി സക്ര വേള്‍ഡ് ആശുപത്രിയിലെ കൊവിഡ് കെയര്‍ ഐസിയുവിന്റെ ശുചിമുറിയിലാണ് മൃതദേഹം കണ്ടെത്തിയത്
[4] മരണത്തില്‍ ദുരൂഹതയുണ്ടെന്നാണ് കുടുംബം ആരോപിക്കുന്നത്
[5] ഈ സാഹചര്യത്തില്‍ പിതാവ് മാറത്തഹള്ളി പൊലീസ് സ്റ്റേഷനില്‍ പരാതി നല്‍കിയിട്ടുണ്ട്
[6] അതുലിനെ ആശുപത്രിയിലെ ശുചിമുറിയില്‍ മരിച്ചനിലയില്‍ കണ്ടെത്തുകയായിരുന്നെന്നും ഹൃദയാഘാതം സംഭവിച്ചു എന്നുമാണ് ആശുപത്രി അധികൃതര്‍ അറിയിച്ചിരിക്കുന്നത്
[7] എന്നാല്‍ മൃതദേഹം പോസ്റ്റ് മോര്‍ട്ടം നടത്താന്‍ തയ്യാറായില്ലെന്നും ശീതീകരണ സംവിധാനമുള്ള ആംബുലന്‍സ് വിട്ടു നല്‍കിയില്ലെന്നും പിതാവ് ആരോപിക്കുന്നു
[8] സംസ്‌കാരം നാട്ടില്‍ നടത്തി",എന്നാൽ മൃതദേഹം പോസ്റ്റ് മോർട്ടം നടത്താൻ തയ്യാറായില്ലെന്നും ശീതീകരണ സംവിധാനമുള്ള ആംബുലൻസ് വിട്ടു നൽകിയില്ലെന്നും പിതാവ് ആരോപിക്കുന്നു. കൊല്ലം ഏഴുകോൺ എടക്കോട് ഐശ്വര്യയിൽ ശശിധരന്റെ മകൻ അതുൽ ശശിധരൻ (26) ആണ് മരിച്ചത്.,,,
33286,"[0] ന്യൂഡൽഹി∙ വിനയ് കുമാർ സക്സേനയെ ഡൽഹി ലഫ്
[1] ഗവർണർ ആയി നിയമിച്ചു
[2] അനിൽ ബൈജാൽ രാജി വച്ച ഒഴിവിലാണ് നിയമനം
[3] ബൈജാലിന്റെ രാജി തിങ്കളാഴ്ച രാഷ്ട്രപതി സ്വീകരിച്ചിരുന്നു
[4] വ്യക്തിപരമായ കാരണങ്ങളാലാണ് സ്ഥാനമൊഴിയുന്നതെന്ന് രാഷ്ട്രപതിക്കയച്ച കത്തിൽ അദ്ദേഹം വ്യക്തമാക്കിയിരുന്നു
[5] 2016 ഡിസംബറിലാണ് അധികാരമേറ്റത്",വ്യക്തിപരമായ കാരണങ്ങളാലാണ് സ്ഥാനമൊഴിയുന്നതെന്ന് രാഷ്ട്രപതിക്കയച്ച കത്തിൽ അദ്ദേഹം വ്യക്തമാക്കിയിരുന്നു. അനിൽ ബൈജാൽ രാജി വച്ച ഒഴിവിലാണ് നിയമനം.,,,
48051,"[0] ദില്ലി : ഇന്ത്യയ്ക്കെതിരെയുളള ഒന്നാം ടെസ്റില്‍ സിംബാബ്വെയ്ക്ക് പതിഞ്ഞ തുടക്കം
[1] കളിനിര്‍ത്തുമ്പോള്‍ സന്ദര്‍ശകര്‍ എട്ടു വിക്കറ്റ് നഷ്ടത്തില്‍ 248 റണ്‍സെടുത്തിട്ടുണ്ട്
[2] ടോസ് നേടിയ സിംബാബ്വെ ബാറ്റിംഗ് തിരഞ്ഞെടുത്തു
[3] ഒരു ഘട്ടത്തില്‍ രണ്ടിന് 118 എന്ന ശക്തമായ നിലയിലായിരുന്നു അവര്‍
[4] സന്ദര്‍ശകര്‍ക്കു വേണ്ടി ക്യാപ്റ്റന്‍ സ്റുവെര്‍ട്ട് കാര്‍ലൈസ് 77 ഉം അലിസ്റര്‍ കാംപെല്‍ 57 ഉം റണ്‍സ് നേടി
[5] കളി നിര്‍ത്തുമ്പോള്‍ 33 റണ്‍സോടെ ട്രാവിസ് ഫ്രണ്ടും ആറു റണ്ണോടെ റെയ്മണ്ട് പ്രൈസുമാണ് ക്രീസില്‍",സന്ദർശകർക്കു വേണ്ടി ക്യാപ്റ്റൻ സ്റുവെർട്ട് കാർലൈസ് 77 ഉം അലിസ്റർ കാംപെൽ 57 ഉം റൺസ് നേടി. കളി നിർത്തുമ്പോൾ 33 റൺസോടെ ട്രാവിസ് ഫ്രണ്ടും ആറു റണ്ണോടെ റെയ്മണ്ട് പ്രൈസുമാണ് ക്രീസിൽ.,,,
